"","Path","Certification date","City","State","Country","Rating system","Version","Certification level"
"Bovis Lend Lease Boston Office","https://www.usgbc.org/projects/bovis-lend-lease-boston-office","","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
"Doyle Conservation Center","https://www.usgbc.org/projects/doyle-conservation-center","26 Jun 2006","Leominster","Massachusetts [MA]","United States [us]","New Construction","v2.0","Gold"
"Harvard Pilgrim Worcester Office","https://www.usgbc.org/projects/harvard-pilgrim-worcester-office","","Worcester","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009",""
"Sudbury Research","https://www.usgbc.org/projects/sudbury-research","","Sudbury","Massachusetts [MA]","United States [us]","Core and Shell","v2.0",""
"Two Twenty Two Berkeley","https://www.usgbc.org/projects/two-twenty-two-berkeley","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"UMass Mem. Medical Center-Ophthalmology","https://www.usgbc.org/projects/umass-mem-medical-center-ophthalmology","26 Jul 2010","Worcester","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Silver"
"175 Crossing Boulevard","https://www.usgbc.org/projects/175-crossing-boulevard","10 Mar 2010","Framingham","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Certified"
"Blackstone South","https://www.usgbc.org/projects/blackstone-south","6 Jan 2012","Cambridge","Massachusetts [MA]","United States [us]","Existing Buildings","v2009","Platinum"
"200 Crossing Boulevard","https://www.usgbc.org/projects/200-crossing-boulevard","24 May 2011","Framingham","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Certified"
"Stubbs Lab - Gordon McKay Building","https://www.usgbc.org/projects/stubbs-lab-gordon-mckay-building","7 Sep 2011","Cambridge","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Gold"
"State Street Financial Center","https://www.usgbc.org/projects/state-street-financial-center","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2008",""
"Somerset Street Student Residences","https://www.usgbc.org/projects/somerset-street-student-residences","","Boston","Massachusetts [MA]","United States [us]","New Construction","v2.0",""
"UUA Headquarters","https://www.usgbc.org/projects/uua-headquarters","","Boston","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0",""
"NEW RESIDENCE HALL AT MHC","https://www.usgbc.org/projects/new-residence-hall-mhc","21 Jan 2009","SOUTH HADLEY","Massachusetts [MA]","United States [us]","New Construction","v2.1","Gold"
"Avnet","https://www.usgbc.org/projects/avnet","15 Oct 2012","North Reading","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009","Certified"
"Dedham Avery School","https://www.usgbc.org/projects/dedham-avery-school","23 Aug 2012","Dedham","Massachusetts [MA]","United States [us]","Schools - New Construction","v2009","Gold"
"EYP Boston Office","https://www.usgbc.org/projects/eyp-boston-office","","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2009",""
"Concord Field Station","https://www.usgbc.org/projects/concord-field-station","","Bedford","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
"NGRID Northborough","https://www.usgbc.org/projects/ngrid-northborough","22 Jun 2011","Northborough","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0","Gold"
"Central Plaza","https://www.usgbc.org/projects/central-plaza","","Cambridge","Massachusetts [MA]","United States [us]","Existing Buildings","v2009",""
"LOSOS Laboratory WHOI","https://www.usgbc.org/projects/losos-laboratory-whoi","3 Oct 2012","Woods Hole","Massachusetts [MA]","United States [us]","New Construction","v2009","Gold"
"SASAKI","https://www.usgbc.org/projects/sasaki","14 Apr 2008","WATERTOWN","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Gold"
"Capuano Early Childhood Center","https://www.usgbc.org/projects/capuano-early-childhood-center","","Somerville","Massachusetts [MA]","United States [us]","New Construction","v2.0",""
"Dreamland Theater","https://www.usgbc.org/projects/dreamland-theater","","Nantucket","Massachusetts [MA]","United States [us]","New Construction","v2.2",""
"Philips Electronics North America","https://www.usgbc.org/projects/philips-electronics-north-america","28 Dec 2009","Andover","Massachusetts [MA]","United States [us]","Existing Buildings","v2.0","Certified"
"Humanscale Boston","https://www.usgbc.org/projects/humanscale-boston","","Boston","Massachusetts [MA]","United States [us]","Commercial Interiors","v2.0",""
