,Path,Certification date,City,State,Country,Rating system,Version,Certification level
87 Village Hill Rd,https://www.usgbc.org/projects/87-village-hill-rd,25-Sep-18,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Silver
The Residences at Marina Bay,https://www.usgbc.org/projects/residences-marina-bay,18-Jul-18,Quincy,Massachusetts [MA],United States [us],New Construction,v2009,Gold
300 A Street,https://www.usgbc.org/projects/300-street,1-Oct-18,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Silver
ISEC Northeastern,https://www.usgbc.org/projects/isec-northeastern,25-Sep-18,Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
Starbucks Seaport Square,https://www.usgbc.org/projects/starbucks-seaport-square,23-Apr-18,Boston,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Silver
175 Federal St,https://www.usgbc.org/projects/175-federal-st,25-Oct-17,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
745 Atlantic,https://www.usgbc.org/projects/745-atlantic,26-Feb-18,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Silver
HBS Ludcke Basement Renovation,https://www.usgbc.org/projects/hbs-ludcke-basement-renovation,14-Mar-18,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v4,Certified
10-24 School Street,https://www.usgbc.org/projects/1024-school-street,2-Jun-17,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
One Memorial Drive,https://www.usgbc.org/projects/one-memorial-drive-1,21-Jul-17,Cambridge,Massachusetts [MA],United States [us],Existing Buildings,v2009,Silver
222 Berkeley & 500 Boylston,https://www.usgbc.org/projects/222-berkeley-500-boylston,28-Feb-18,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Platinum
1 Lovejoy,https://www.usgbc.org/projects/1-lovejoy,29-Jun-17,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
Avison Young Boston Office,https://www.usgbc.org/projects/avison-young-boston-office,9-Feb-18,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
699 Boylston St.,https://www.usgbc.org/projects/699-boylston-st,11-Dec-17,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
NORTHEASTERN UNIVERSITY PHASE 3,https://www.usgbc.org/projects/northeastern-university-phase-3,10-Sep-18,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
472 Washington St,https://www.usgbc.org/projects/472-washington-st,18-Jul-18,Dorchester,Massachusetts [MA],United States [us],Homes,v2008,Gold
HRE Memorial Church Basement Renovation,https://www.usgbc.org/projects/hre-memorial-church-basement-renovation,8-Aug-17,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
Soldiers Field Park Bldg 4 Renovation,https://www.usgbc.org/projects/soldiers-field-park-bldg-4-renovation,17-May-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
FAS HUCE,https://www.usgbc.org/projects/fas-huce,6-Feb-18,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
100 Cambridge Street Recertification,https://www.usgbc.org/projects/100-cambridge-street-recertification,21-Aug-17,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
3 Van de Graaff RECERTIFICATION,https://www.usgbc.org/projects/3-van-de-graaff-recertification-0,18-Dec-17,Burlington,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
101 Seaport at Seaport Square,https://www.usgbc.org/projects/101-seaport-seaport-square-0,15-Aug-17,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Platinum
Kendrick Place,https://www.usgbc.org/projects/kendrick-place-0,4-Oct-16,Amherst,Massachusetts [MA],United States [us],Mid-rise,v2008,Gold
NORTHEASTERN UNIVERSITY PHASE 2,https://www.usgbc.org/projects/northeastern-university-phase-2,18-May-18,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Silver
TD Bank - Quincy MA -476 Southern Artery,https://www.usgbc.org/projects/td-bank-quincy-ma-476-southern-artery,13-Dec-17,Quincy,Massachusetts [MA],United States [us],New Construction,v2009,Gold
TD Bank - Quincy MA - 323 Hancock Street,https://www.usgbc.org/projects/td-bank-quincy-ma-323-hancock-street,22-Mar-18,Quincy,Massachusetts [MA],United States [us],New Construction,v2009,Gold
TD Bank - Boston MA - 306 West Broadway,https://www.usgbc.org/projects/td-bank-boston-ma-306-west-broadway,6-Mar-18,South Boston,Massachusetts [MA],United States [us],New Construction,v2009,Gold
HMS - HIM 4th Floor Renovation,https://www.usgbc.org/projects/hms-him-4th-floor-renovation,18-Sep-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
The Offices at 22 Boston Wharf Road,https://www.usgbc.org/projects/offices-22-boston-wharf-road,3-Aug-18,Boston,Massachusetts [MA],United States [us],Core and Shell,v2009,Gold
40 Concord Ave Renovation - Radcliffe,https://www.usgbc.org/projects/40-concord-ave-renovation-radcliffe,15-Dec-17,Cambridge,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
Riverfront Office Park - 101 Main,https://www.usgbc.org/projects/riverfront-office-park-101-main,1-Feb-18,Cambridge,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
Riverfront Office Park - One Main,https://www.usgbc.org/projects/riverfront-office-park-one-main,31-Jan-18,Cambridge,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
Starbucks Route 140 & Old West,https://www.usgbc.org/projects/starbucks-route-140-old-west,29-Sep-16,Franklin,Massachusetts [MA],United States [us],Retail - Commercial Interiors,v2009,Silver
Shire 45-55 Hayden,https://www.usgbc.org/projects/shire-4555-hayden,21-Nov-17,Lexington,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
AvalonBay Boston Office,https://www.usgbc.org/projects/avalonbay-boston-office,30-Oct-17,Boston,Massachusetts [MA],United States [us],Commercial Interiors,v2009,Gold
The Columns at Rockwell Place,https://www.usgbc.org/projects/columns-rockwell-place,13-Jul-18,Northampton,Massachusetts [MA],United States [us],Homes,v2008,Silver
75-101 Federal Street,https://www.usgbc.org/projects/75101-federal-street,7-Nov-17,Boston,Massachusetts [MA],United States [us],Existing Buildings,v2009,Gold
